Number,Plant,Wt,Block,bact.trt,host.trt,species,n.strains,nodulation,treat.no
2,A,6.38,A,1,sal,sal,1,5,1
2,B,2.23,A,1,sal,sal,1,5,1
2,A,1.88,B,1,sal,sal,1,4,1
2,B,0.17,B,1,sal,sal,1,1,1
2,A,3.08,C,1,sal,sal,1,5,1
2,B,4.65,C,1,sal,sal,1,5,1
2,A,4.58,D,1,sal,sal,1,5,1
2,B,5.56,D,1,sal,sal,1,5,1
2,A,2.09,E,1,sal,sal,1,5,1
2,B,2.91,E,1,sal,sal,1,5,1
2,A,6.09,F,1,sal,sal,1,5,1
2,B,4.18,F,1,sal,sal,1,4,1
5,A,1.87,A,2,sal,sal,1,5,2
5,B,3.18,A,2,sal,sal,1,5,2
5,A,1.86,B,2,sal,sal,1,5,2
5,B,3.6,B,2,sal,sal,1,5,2
5,A,0.43,C,2,sal,sal,1,3,2
5,B,2.84,C,2,sal,sal,1,5,2
5,A,4.53,D,2,sal,sal,1,5,2
5,B,4.7,D,2,sal,sal,1,5,2
5,A,0.2,E,2,sal,sal,1,2,2
5,B,2.5,E,2,sal,sal,1,5,2
5,A,3.7,F,2,sal,sal,1,5,2
5,B,5.55,F,2,sal,sal,1,5,2
8,A,3.35,A,3,sal,sal,1,4,3
8,B,9.64,A,3,sal,sal,1,5,3
8,A,4.53,B,3,sal,sal,1,4,3
8,B,5.39,B,3,sal,sal,1,5,3
8,A,4.95,C,3,sal,sal,1,4,3
8,B,4.94,C,3,sal,sal,1,4,3
8,A,3.22,D,3,sal,sal,1,5,3
8,B,5.09,D,3,sal,sal,1,5,3
8,A,5.55,E,3,sal,sal,1,5,3
8,B,5.78,E,3,sal,sal,1,4,3
8,A,7.42,F,3,sal,sal,1,5,3
8,B,4.8,F,3,sal,sal,1,5,3
11,A,0.08,A,4,sal,sal,1,1,4
11,B,0.08,A,4,sal,sal,1,0,4
11,A,0.08,B,4,sal,sal,1,0,4
11,B,0.06,B,4,sal,sal,1,0,4
11,A,0.09,C,4,sal,sal,1,0,4
11,B,0.08,C,4,sal,sal,1,0,4
11,A,0.06,D,4,sal,sal,1,0,4
11,B,0.09,D,4,sal,sal,1,0,4
11,A,0.05,E,4,sal,sal,1,1,4
11,B,0.09,E,4,sal,sal,1,0,4
11,A,0.09,F,4,sal,sal,1,0,4
11,B,0.1,F,4,sal,sal,1,0,4
14,A,0.08,A,5,sal,sal,1,1,5
14,B,0.06,A,5,sal,sal,1,1,5
14,A,0.06,B,5,sal,sal,1,1,5
14,B,0.06,B,5,sal,sal,1,1,5
14,A,0.0566,C,5,sal,sal,1,1,5
14,B,0.0643,C,5,sal,sal,1,3,5
14,A,0.07,D,5,sal,sal,1,0,5
14,B,0.05,D,5,sal,sal,1,2,5
14,A,0.12,E,5,sal,sal,1,1,5
14,B,0.05,E,5,sal,sal,1,0,5
14,A,0.05,F,5,sal,sal,1,1,5
14,B,0.07,F,5,sal,sal,1,0,5
17,A,0.1,A,6,sal,sal,1,0,6
17,B,0.1,A,6,sal,sal,1,0,6
17,A,0.0375,B,6,sal,sal,1,0,6
17,B,0.68,B,6,sal,sal,1,3,6
17,A,0.11,C,6,sal,sal,1,0,6
17,B,0.08,C,6,sal,sal,1,0,6
17,A,0.12,D,6,sal,sal,1,0,6
17,B,0.09,D,6,sal,sal,1,0,6
17,A,0.17,E,6,sal,sal,1,0,6
17,B,0.03,E,6,sal,sal,1,0,6
17,A,0.02,F,6,sal,sal,1,0,6
17,B,0.07,F,6,sal,sal,1,2,6
20,A,0.1,A,7,sal,sal,1,0,7
20,B,0.1,A,7,sal,sal,1,0,7
20,A,0.08,B,7,sal,sal,1,0,7
20,B,0.09,B,7,sal,sal,1,0,7
20,A,0.0825,C,7,sal,sal,1,0,7
20,B,0.0586,C,7,sal,sal,1,0,7
