bact.trt,Plant,Wt,Block,host.trt,species,n.strains,nodulation,rhiz.strain,rhiz.genus,bact.div
1,A,6.38,A,sal,sal,1,5,A1,brady,1
1,B,2.23,A,sal,sal,1,5,A1,brady,1
1,A,1.88,B,sal,sal,1,4,A1,brady,1
1,B,0.17,B,sal,sal,1,1,A1,brady,1
1,A,3.08,C,sal,sal,1,5,A1,brady,1
1,B,4.65,C,sal,sal,1,5,A1,brady,1
1,A,4.58,D,sal,sal,1,5,A1,brady,1
1,B,5.56,D,sal,sal,1,5,A1,brady,1
1,A,2.09,E,sal,sal,1,5,A1,brady,1
1,B,2.91,E,sal,sal,1,5,A1,brady,1
1,A,6.09,F,sal,sal,1,5,A1,brady,1
1,B,4.18,F,sal,sal,1,4,A1,brady,1
1,A,0.1,D,sal&sten,sten,1,0,A1,brady,1
1,B,5.61,D,sal&sten,sal,1,5,A1,brady,1
1,A,0.18,E,sal&sten,sten,1,2,A1,brady,1
1,B,2.97,E,sal&sten,sal,1,4,A1,brady,1
1,A,0.69,F,sal&sten,sten,1,3,A1,brady,1
1,B,7.08,F,sal&sten,sal,1,5,A1,brady,1
1,A,0.3,D,sten,sten,1,2,A1,brady,1
1,A,0.29,A,sal&sten,sten,1,2,A1,brady,1
1,B,5.04,A,sal&sten,sal,1,5,A1,brady,1
1,A,0.07,B,sal&sten,sten,1,0,A1,brady,1
1,B,5.71,B,sal&sten,sal,1,5,A1,brady,1
1,A,0.16,C,sal&sten,sten,1,1,A1,brady,1
1,B,4.88,C,sal&sten,sal,1,4,A1,brady,1
1,A,0.11,A,sten,sten,1,0,A1,brady,1
1,B,0.12,A,sten,sten,1,0,A1,brady,1
1,A,0.22,B,sten,sten,1,1,A1,brady,1
1,B,0.38,B,sten,sten,1,2,A1,brady,1
1,A,0.34,C,sten,sten,1,2,A1,brady,1
1,B,0.14,C,sten,sten,1,1,A1,brady,1
1,A,0.4,F,sten,sten,1,2,A1,brady,1
1,B,0.17,D,sten,sten,1,1,A1,brady,1
1,A,0.71,E,sten,sten,1,3,A1,brady,1
1,B,0.58,E,sten,sten,1,3,A1,brady,1
1,B,0.12,F,sten,sten,1,1,A1,brady,1
10,B,0.16,B,sten,sten,1,0,C2,rhizo,1
10,A,1.25,C,sten,sten,1,3,C2,rhizo,1
10,A,0.69,D,sten,sten,1,2,C2,rhizo,1
10,B,0.4,D,sten,sten,1,2,C2,rhizo,1
10,A,0.19,E,sten,sten,1,0,C2,rhizo,1
10,B,0.36,C,sten,sten,1,2,C2,rhizo,1
10,A,0.25,F,sten,sten,1,0,C2,rhizo,1
10,B,0.17,F,sten,sten,1,0,C2,rhizo,1
10,B,0.06,E,sal,sal,1,0,C2,rhizo,1
10,B,0.1,E,sten,sten,1,0,C2,rhizo,1
10,A,0.09,D,sal&sten,sten,1,0,C2,rhizo,1
10,B,0.09,D,sal&sten,sal,1,2,C2,rhizo,1
10,A,0.13,E,sal&sten,sten,1,0,C2,rhizo,1
10,B,0.11,E,sal&sten,sal,1,0,C2,rhizo,1
10,A,0.14,F,sal&sten,sten,1,1,C2,rhizo,1
10,B,0.07,F,sal&sten,sal,1,1,C2,rhizo,1
10,B,0.01,B,sal,sal,1,0,C2,rhizo,1
10,A,0.21,A,sal&sten,sten,1,0,C2,rhizo,1
10,B,0.84,A,sal&sten,sal,1,2,C2,rhizo,1
10,A,0.14,B,sal&sten,sten,1,0,C2,rhizo,1
10,B,0.09,B,sal&sten,sal,1,0,C2,rhizo,1
10,A,0.15,C,sal&sten,sten,1,0,C2,rhizo,1
10,B,0.13,C,sal&sten,sal,1,0,C2,rhizo,1
10,A,0.2,A,sten,sten,1,0,C2,rhizo,1
10,B,0.12,A,sten,sten,1,0,C2,rhizo,1
10,A,0.4,B,sten,sten,1,0,C2,rhizo,1
10,A,NA,A,sal,sal,1,0,C2,rhizo,1
10,B,0.37,A,sal,sal,1,1,C2,rhizo,1
10,A,0.12,B,sal,sal,1,0,C2,rhizo,1
10,B,0.07,D,sal,sal,1,0,C2,rhizo,1
10,A,0.02,C,sal,sal,1,0,C2,rhizo,1
10,B,0.02,C,sal,sal,1,0,C2,rhizo,1
10,A,0.06,D,sal,sal,1,0,C2,rhizo,1
10,B,0.02,F,sal,sal,1,0,C2,rhizo,1
10,A,0.07,E,sal,sal,1,0,C2,rhizo,1
10,A,0.07,F,sal,sal,1,0,C2,rhizo,1
11,A,0.2,A,sten,sten,1,0,C3,rhizo,1
11,A,0.2,A,sal&sten,sten,1,0,C3,rhizo,1
11,A,0.11,A,sal,sal,1,0,C3,rhizo,1
11,B,0.11,A,sal,sal,1,0,C3,rhizo,1
11,A,0.08,B,sal,sal,1,0,C3,rhizo,1
11,B,0.0678,B,sal,sal,1,0,C3,rhizo,1
11,A,0.06,C,sal,sal,1,0,C3,rhizo,1
11,B,0.07,C,sal,sal,1,0,C3,rhizo,1
11,A,0.0694,D,sal,sal,1,0,C3,rhizo,1
11,B,0.1,D,sal,sal,1,0,C3,rhizo,1
11,A,0.12,E,sal,sal,1,0,C3,rhizo,1
11,B,0.05,E,sal,sal,1,0,C3,rhizo,1
11,A,0.08,F,sal,sal,1,0,C3,rhizo,1
11,B,0.1,F,sal,sal,1,0,C3,rhizo,1
11,A,0.1,D,sal&sten,sten,1,0,C3,rhizo,1
11,B,0.08,D,sal&sten,sal,1,0,C3,rhizo,1
11,A,0.13,E,sal&sten,sten,1,0,C3,rhizo,1
11,B,0.09,E,sal&sten,sal,1,0,C3,rhizo,1
11,A,0.36,F,sal&sten,sten,1,2,C3,rhizo,1
11,B,0.1,F,sal&sten,sal,1,0,C3,rhizo,1
11,A,0.2,D,sten,sten,1,0,C3,rhizo,1
11,B,0.12,D,sten,sten,1,0,C3,rhizo,1
11,B,0.03,A,sal&sten,sal,1,0,C3,rhizo,1
11,A,0.18,B,sal&sten,sten,1,0,C3,rhizo,1
11,B,0.08,B,sal&sten,sal,1,0,C3,rhizo,1
11,A,0.11,C,sal&sten,sten,1,0,C3,rhizo,1
11,B,0.15,C,sal&sten,sal,1,0,C3,rhizo,1
11,A,0.19,C,sten,sten,1,0,C3,rhizo,1
11,B,0.18,A,sten,sten,1,1,C3,rhizo,1
11,A,0.02,B,sten,sten,1,0,C3,rhizo,1
11,B,0.11,B,sten,sten,1,0,C3,rhizo,1
11,A,0.1,E,sten,sten,1,0,C3,rhizo,1
11,B,0.0659,C,sten,sten,1,0,C3,rhizo,1
11,A,0.17,F,sten,sten,1,2,C3,rhizo,1
11,B,1.47,F,sten,sten,1,0,C3,rhizo,1
11,B,0.36,E,sten,sten,1,0,C3,rhizo,1
12,A,2.42,A,sal,sal,1,5,C4,rhizo,1
12,A,2.7,D,sal,sal,1,5,C4,rhizo,1
12,B,3.54,D,sal,sal,1,4,C4,rhizo,1
12,A,4.09,D,sal&sten,sten,1,5,C4,rhizo,1
12,B,2.65,D,sal&sten,sal,1,4,C4,rhizo,1
12,B,2.5,A,sal,sal,1,4,C4,rhizo,1
12,A,3.29,B,sal,sal,1,3,C4,rhizo,1
12,B,3.18,B,sal,sal,1,5,C4,rhizo,1
12,A,2.94,C,sal,sal,1,4,C4,rhizo,1
12,B,3.14,C,sal,sal,1,5,C4,rhizo,1
12,A,2.04,A,sal&sten,sten,1,4,C4,rhizo,1
12,B,3.32,A,sal&sten,sal,1,3,C4,rhizo,1
12,A,2.21,B,sal&sten,sten,1,4,C4,rhizo,1
12,B,3.62,B,sal&sten,sal,1,4,C4,rhizo,1
12,A,2.33,C,sal&sten,sten,1,4,C4,rhizo,1
12,B,NA,C,sal&sten,sal,1,NA,C4,rhizo,1
12,A,3.72,A,sten,sten,1,5,C4,rhizo,1
12,B,3.68,A,sten,sten,1,5,C4,rhizo,1
12,A,3.42,B,sten,sten,1,5,C4,rhizo,1
12,B,2.72,B,sten,sten,1,4,C4,rhizo,1
12,A,0.13,C,sten,sten,1,0,C4,rhizo,1
12,B,3.67,C,sten,sten,1,4,C4,rhizo,1
12,A,2.66,D,sten,sten,1,5,C4,rhizo,1
12,B,2.53,D,sten,sten,1,4,C4,rhizo,1
12,A,1.27,E,sten,sten,1,5,C4,rhizo,1
12,B,3.02,E,sten,sten,1,5,C4,rhizo,1
12,A,1.89,F,sten,sten,1,4,C4,rhizo,1
12,B,1.5,F,sten,sten,1,3,C4,rhizo,1
12,A,1.73,E,sal,sal,1,3,C4,rhizo,1
12,B,1.7,E,sal,sal,1,4,C4,rhizo,1
12,A,2.47,F,sal,sal,1,5,C4,rhizo,1
12,B,1.7,F,sal,sal,1,4,C4,rhizo,1
12,A,2.59,F,sal&sten,sten,1,5,C4,rhizo,1
12,B,0.68,F,sal&sten,sal,1,3,C4,rhizo,1
12,A,0.99,E,sal&sten,sten,1,5,C4,rhizo,1
12,B,1.35,E,sal&sten,sal,1,4,C4,rhizo,1
13,A,2.42,C,sten,sten,1,4,D1,sino,1
13,B,0.98,C,sten,sten,1,2,D1,sino,1
13,A,0.08,F,sten,sten,1,1,D1,sino,1
13,B,1.7,F,sten,sten,1,3,D1,sino,1
13,A,0.1,E,sal,sal,1,0,D1,sino,1
13,B,0.11,E,sal,sal,1,0,D1,sino,1
13,A,0.12,F,sal,sal,1,0,D1,sino,1
13,B,0.25,F,sal,sal,1,2,D1,sino,1
13,A,2.46,D,sal&sten,sten,1,4,D1,sino,1
13,B,2.95,D,sal&sten,sal,1,4,D1,sino,1
13,A,1.99,E,sal&sten,sten,1,4,D1,sino,1
13,A,0.61,D,sten,sten,1,3,D1,sino,1
13,B,0.03,D,sten,sten,1,0,D1,sino,1
13,A,0.35,E,sten,sten,1,2,D1,sino,1
13,B,0.86,E,sten,sten,1,3,D1,sino,1
13,A,0.28,A,sal&sten,sten,1,2,D1,sino,1
