Variable,UKSummer,UKSpring,UKFall,GermanyFall,SpainFall,FinlandFall
Temp.HistoricMeanAnnnual,10,10,10,9,16.9,1.9
Temp.OptimalMeanAnnual,>16,13.9,>16,12.5,>16,7
Temp.HistoricApril,7.7,7.7,7.7,8.1,14.5,0.4
Temp.GrowthApril,11.4,11.4,11.4,11.8,15,2.3
Temp.OptimalApril,>15,11.4,>15,11.2,>15,5.4
Temp.HistoricOctober,11,11,11,9.6,18,2.8
Temp.GrowthOctober,13.7,13.7,13.7,13,NA,5.8
Temp.OptimalOctober,>17,14.8,>17,13.7,>17,7.7
Latitude,52.6,52.6,52.6,51.5,39.6,65.1
OptimalLatitude,43.7,46,<37,46.8,<37,54.2
