Accession,Lat,Lon,YearCollected,Fitness,Location,Season,YearPlanted
Ta-0,49.41,14.66,1937,17.5,Norwich,Autumn,2006
Wa-1,52.23,21.01,1937,776.64,Norwich,Autumn,2006
Bd-0,52.45,13.28,1939,909.816,Norwich,Autumn,2006
Col-0,52.73,15.24,1939,479.32,Norwich,Autumn,2006
Dr-0,51.1,13.82,1939,2600.6325,Norwich,Autumn,2006
Gie-0,50.58,8.65,1939,0,Norwich,Autumn,2006
Gr-3,47.07,15.44,1939,1464.784,Norwich,Autumn,2006
Gr-6,47.07,15.44,1939,4882.624,Norwich,Autumn,2006
In-0,47.26,11.39,1939,3027.776,Norwich,Autumn,2006
Is-0,50.48,7.6,1939,2766.698,Norwich,Autumn,2006
La-1,52.73,15.24,1939,3065.514,Norwich,Autumn,2006
Ler-1,52.73,15.24,1939,201,Norwich,Autumn,2006
Lu-1,55.7,13.19,1939,4540.576,Norwich,Autumn,2006
St-0,59.33,18.06,1939,9051.826,Norwich,Autumn,2006
Bl-1,44.49,11.35,1940,3800.8,Norwich,Autumn,2006
Bs-1,47.56,7.58,1940,5264.236,Norwich,Autumn,2006
Bs-5 ,47.56,7.58,1940,6739.496,Norwich,Autumn,2006
Bsch-0,50.02,8.67,1940,1264.484,Norwich,Autumn,2006
Da-0,49.87,8.65,1940,5336.18,Norwich,Autumn,2006
Fr-2,50.12,8.68,1940,2611.604,Norwich,Autumn,2006
Li-2:1 ,50.37,8.12,1940,4129.728,Norwich,Autumn,2006
Si-0,50.87,8.02,1940,12423.2,Norwich,Autumn,2006
Vi-0,50.18,8.74,1940,5876.16,Norwich,Autumn,2006
Bu-0,50.7,9.72,1941,506.42,Norwich,Autumn,2006
Ep-0,50.17,8.39,1941,8518.4,Norwich,Autumn,2006
Kn-0,54.9,23.89,1942,2817.404,Norwich,Autumn,2006
Rsch-0,56.27,34.33,1942,3343.76,Norwich,Autumn,2006
Chi-0,53.74,34.74,1943,1425.6,Norwich,Autumn,2006
Lm-2,48.01,0.2,1943,5292.815,Norwich,Autumn,2006
Nw-1,50.32,8.41,1943,1085.77,Norwich,Autumn,2006
Nw-3 ,50.32,8.41,1943,5584.544,Norwich,Autumn,2006
Rou-0,49.44,1.1,1943,21133,Norwich,Autumn,2006
Stw-0,52.97,36.07,1943,2753.762,Norwich,Autumn,2006
Ws-0,53.09,30.91,1943,6959.61,Norwich,Autumn,2006
Li-6:1,50.37,8.12,1944,16897.399,Norwich,Autumn,2006
G-0,50.39,8,1947,2210.14,Norwich,Autumn,2006
Ga-0,50.3,8,1948,8075.1175,Norwich,Autumn,2006
Li-10,50.37,8.12,1948,1196.324,Norwich,Autumn,2006
Ll-0,41.83,2.89,1948,16366.964,Norwich,Autumn,2006
Ll-2 ,41.83,2.89,1948,2987.994,Norwich,Autumn,2006
Loh-0,50.37,8.12,1948,8207.6,Norwich,Autumn,2006
Pla-0,41.92,3.08,1948,206.5,Norwich,Autumn,2006
Se-0,41.42,2.25,1948,10999.308,Norwich,Autumn,2006
Sei-0,46.55,11.56,1948,1950.904,Norwich,Autumn,2006
Sf-1,42.47,0.53,1948,4929.708,Norwich,Autumn,2006
Sf-2 ,42.47,0.53,1948,17751.42,Norwich,Autumn,2006
Ts-1,41.72,2.93,1948,20168.106,Norwich,Autumn,2006
Ts-5,41.72,2.93,1948,9289.75,Norwich,Autumn,2006
Mr-0,44.78,9.77,1952,127.44,Norwich,Autumn,2006
An-1,51.22,4.42,1954,5017.333333,Norwich,Autumn,2006
Bla-1,41.67,2.79,1954,8413.33,Norwich,Autumn,2006
Co-2,40.21,-8.43,1954,4089.9,Norwich,Autumn,2006
Fe-1,48,7.85,1954,9285.23,Norwich,Autumn,2006
Sg-1,48.12,8.33,1954,6056.728,Norwich,Autumn,2006
Uk-4,48.03,7.76,1954,315.02,Norwich,Autumn,2006
Ak-1,48.07,7.65,1955,21045.262,Norwich,Autumn,2006
Lo-1,47.62,7.66,1955,5187.6,Norwich,Autumn,2006
Mrk-0,47.64,7.59,1955,7597.32,Norwich,Autumn,2006
Set-0,54.07,-2.28,1955,NA,Norwich,Autumn,2006
Bla-10Ê,41.67,2.79,1956,12246.36,Norwich,Autumn,2006
Gd-1,53.55,10.78,1957,5133.725,Norwich,Autumn,2006
Pt-0,53.48,10.61,1957,706,Norwich,Autumn,2006
G-2 ,51.53,9.93,1958,340.2,Norwich,Autumn,2006
Goettingen-22,51.32,9.55,1959,2119.594,Norwich,Autumn,2006
Goettingen-7,51.32,9.55,1959,0,Norwich,Autumn,2006
Rennes-1,48.5,-1.41,1959,4224.942,Norwich,Autumn,2006
Aa-0,50.92,9.57,1959,1171.8,Norwich,Autumn,2006
Ba-1,56.54,-4.79,1959,8300.261,Norwich,Autumn,2006
Ca-0,50.3,8.27,1959,9926.0125,Norwich,Autumn,2006
El-0,51.3,9.97,1959,2947.914,Norwich,Autumn,2006
Hh-0,54.42,9.89,1959,NA,Norwich,Autumn,2006
Hn-0,51.33,8.27,1959,7698.665,Norwich,Autumn,2006
Lan-0,55.67,-3.78,1959,16086.28,Norwich,Autumn,2006
Ag-0,45.1,1.93,1960,3150.565,Norwich,Autumn,2006
Et-0,44.64,2.56,1960,3947.3,Norwich,Autumn,2006
Hl-0,52.26,9.63,1960,NA,Norwich,Autumn,2006
Pn-0,48.07,-2.97,1960,3906.66,Norwich,Autumn,2006
Hl-3 ,51.57,9.9,1961,2613.031,Norwich,Autumn,2006
Hs-0,52.91,9.02,1961,4482.216,Norwich,Autumn,2006
Ty-0,56.43,-5.24,1961,5024.78,Norwich,Autumn,2006
Np-0,52.7,10.98,1963,153.2,Norwich,Autumn,2006
Fi-0,50.5,8.02,1964,2326.0125,Norwich,Autumn,2006
Me-0,51.92,10.11,1964,4262.76,Norwich,Autumn,2006
Nd-1,47.4,8.18,1964,5801.968,Norwich,Autumn,2006
Or-0,50.38,8.01,1964,145.55,Norwich,Autumn,2006
Ove-0,53.54,7.8,1964,7,Norwich,Autumn,2006
